"Name","ReachID","OriginalRID"
"Tuluksak",7258,9926
"Tuluksak",7268,9926
"Tuluksak",7324,9926
"Tuluksak",7650,9926
"Tuluksak",7697,9926
"Tuluksak",7719,9926
"Tuluksak",7760,9926
"Tuluksak",7835,9926
"Tuluksak",7891,9926
"Tuluksak",7892,9926
"Tuluksak",7954,9926
"Tuluksak",7956,9926
"Tuluksak",8180,9926
"Tuluksak",8465,9926
"Tuluksak",8563,9926
"Tuluksak",8564,9926
"Tuluksak",8684,9926
"Tuluksak",7144,9926
"Tuluksak",7163,9926
"Tuluksak",7181,9926
"Tuluksak",7220,9926
"Tuluksak",7497,9926
"Tuluksak",7546,9926
"Tuluksak",7565,9926
"Tuluksak",7642,9926
"Tuluksak",7648,9926
"Tuluksak",7713,9926
"Tuluksak",7818,9926
"Tuluksak",7874,9926
"Tuluksak",8476,9926
"Tuluksak",8575,9926
"Tuluksak",8681,9926
"Tuluksak",8689,9926
"Tuluksak",6629,9926
"Tuluksak",6778,9926
"Tuluksak",7083,9926
"Tuluksak",7176,9926
"Tuluksak",7231,9926
"Tuluksak",7354,9926
"Tuluksak",7377,9926
"Tuluksak",7472,9926
"Tuluksak",7629,9926
"Tuluksak",7698,9926
"Tuluksak",7743,9926
"Tuluksak",7822,9926
"Tuluksak",8365,9926
"Tuluksak",8469,9926
"Tuluksak",8567,9926
"Tuluksak",8655,9926
"Tuluksak",6753,9926
"Tuluksak",6805,9926
"Tuluksak",6931,9926
"Tuluksak",7055,9926
"Tuluksak",7061,9926
"Tuluksak",7090,9926
"Tuluksak",7123,9926
"Tuluksak",7170,9926
"Tuluksak",7621,9926
"Tuluksak",7670,9926
"Tuluksak",7680,9926
"Tuluksak",7754,9926
"Tuluksak",7759,9926
"Tuluksak",7794,9926
"Tuluksak",8185,9926
"Tuluksak",8219,9926
"Tuluksak",8325,9926
"Tuluksak",8479,9926
"Tuluksak",8492,9926
"Tuluksak",8547,9926
"Tuluksak",6529,9926
"Tuluksak",6655,9926
"Tuluksak",6704,9926
"Tuluksak",6782,9926
"Tuluksak",6953,9926
"Tuluksak",7046,9926
"Tuluksak",7151,9926
"Tuluksak",7154,9926
"Tuluksak",7252,9926
"Tuluksak",7462,9926
"Tuluksak",7597,9926
"Tuluksak",7652,9926
"Tuluksak",7687,9926
"Tuluksak",7748,9926
"Tuluksak",8129,9926
"Tuluksak",8133,9926
"Tuluksak",8137,9926
"Tuluksak",8210,9926
"Tuluksak",8220,9926
"Tuluksak",8342,9926
"Tuluksak",6381,9926
"Tuluksak",6528,9926
"Tuluksak",6546,9926
"Tuluksak",6556,9926
"Tuluksak",6586,9926
"Tuluksak",6609,9926
"Tuluksak",6651,9926
"Tuluksak",6775,9926
"Tuluksak",6948,9926
"Tuluksak",6993,9926
"Tuluksak",7227,9926
"Tuluksak",7234,9926
"Tuluksak",7899,9926
"Tuluksak",8051,9926
"Tuluksak",8200,9926
"Tuluksak",8221,9926
"Tuluksak",8276,9926
"Tuluksak",8326,9926
"Tuluksak",6326,9926
"Tuluksak",6337,9926
"Tuluksak",6364,9926
"Tuluksak",6371,9926
"Tuluksak",6482,9926
"Tuluksak",6505,9926
"Tuluksak",6531,9926
"Tuluksak",6617,9926
"Tuluksak",6794,9926
"Tuluksak",6947,9926
"Tuluksak",7027,9926
"Tuluksak",7201,9926
"Tuluksak",7873,9926
"Tuluksak",8027,9926
"Tuluksak",8140,9926
"Tuluksak",8143,9926
"Tuluksak",8195,9926
"Tuluksak",8235,9926
"Tuluksak",8243,9926
"Tuluksak",8248,9926
"Tuluksak",8281,9926
"Tuluksak",8370,9926
"Tuluksak",6091,9926
"Tuluksak",6347,9926
"Tuluksak",6776,9926
"Tuluksak",6854,9926
"Tuluksak",7084,9926
"Tuluksak",7209,9926
"Tuluksak",7787,9926
"Tuluksak",8053,9926
"Tuluksak",8091,9926
"Tuluksak",8099,9926
"Tuluksak",8130,9926
"Tuluksak",8183,9926
"Tuluksak",8190,9926
"Tuluksak",8398,9926
"Tuluksak",6659,9926
"Tuluksak",6698,9926
"Tuluksak",6777,9926
"Tuluksak",6873,9926
"Tuluksak",7006,9926
"Tuluksak",7016,9926
"Tuluksak",7199,9926
"Tuluksak",7315,9926
"Tuluksak",7732,9926
"Tuluksak",7786,9926
"Tuluksak",7828,9926
"Tuluksak",8019,9926
"Tuluksak",8034,9926
"Tuluksak",8055,9926
"Tuluksak",8070,9926
